id,name,organization,primary_contact,username,user_id,historical_quoted_retail_usd,target_wholesale_usd,vetting_status,notes
OP-13,Viper,Viper,Behindthemask 💎🥷🏽,,-1002641724771,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-14,YEMINIZ,YEMINIZ,Ade 👑,,-4656491908,0,0,Ecosystem Partner (Active Chat),"Last contact: Ade 👑 (2025-07-29 17:08): Hey Dear Partner,

[ @yeminizz   ]

Thank you so much for your support so far!

..."
OP-15,Wonka,Wonka,Behindthemask 💎🥷🏽,,-4719941260,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-16,ROUNDCHICKENTON,ROUNDCHICKENTON,Behindthemask 💎🥷🏽,,-4698113891,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-17,MR. BASH,MR. BASH,Behindthemask 💎🥷🏽,,-4679656250,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-18,Jivo Pets,Jivo Pets,Behindthemask 💎🥷🏽,,-4622269676,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-19,ONTON X Architect.Ton,ONTON X Architect.Ton,Behindthemask 💎🥷🏽,,-4602547353,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-20,Syde.fi,Syde.fi,Behindthemask 💎🥷🏽,,-1002678147789,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-21,ELVIS,ELVIS,Behindthemask 💎🥷🏽,,-4623638867,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-22,ARNI on TON,ARNI on TON,Behindthemask 💎🥷🏽,,-4687338386,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-23,REIGN,REIGN,Babak,,-4768338421,0,0,Ecosystem Partner (Active Chat),Last contact: Babak (2025-07-30 16:24): yeb...
OP-24,Zeroikins,Zeroikins,Ade 👑,,-4610503426,0,0,Ecosystem Partner (Active Chat),"Last contact: Ade 👑 (2025-07-29 13:41): Dear Partner, [ @zeroikins    ]

Reminder: ONION Fair Launch Auction goes live t..."
OP-25,Xem On TON,Xem On TON,Babak,,-4602080924,0,0,Ecosystem Partner (Active Chat),"Last contact: Babak (2025-07-29 17:38): Hey bro 
Sorry I wanted to respond earlier but I lost the message.
We will make ..."
OP-26,Ton2k,Ton2k,Behindthemask 💎🥷🏽,,-4717211510,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-27,Masterverses,Masterverses,Behindthemask 💎🥷🏽,,-1002609978162,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-07-29 15:19): 🎉 Round 1 Sold Out — Before Time Ran Out!
Let’s cool down for 10 minutes... then..."
OP-28,BB & CRYPTO,BB & CRYPTO,Babak,,-4744936394,0,0,Ecosystem Partner (Active Chat),"Last contact: Babak (2025-08-14 17:41): Hi 
As far as I know, it only includes the NFTs and the fair launch 
Not the one..."
OP-29,JANA,JANA,Jana 🇧🇷🇦🇺,,-4954920944,0,0,Ecosystem Partner (Active Chat),Last contact: Jana 🇧🇷🇦🇺 (2025-08-12 22:00): Great and you?...
OP-30,GoMining,GoMining,Behindthemask 💎🥷🏽,,-1002625129873,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-04-07 04:10): @FakhulMiah @jdreier 

Let's know if you are in, as we are looking to finalize o..."
OP-31,E-Football Manager,E-Football Manager,Behindthemask 💎🥷🏽,,-1002613853584,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-04-07 04:09): Hey @EFM_TON  let's know if you are in, as we are looking to finalize our partne..."
OP-32,Fintax,Fintax,Behindthemask 💎🥷🏽,,-1002597673872,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-04-07 04:06): Hey @piesakuya let's know if you are in, as we are looking to finalize our partn..."
OP-33,CryptoMagnate,CryptoMagnate,Behindthemask 💎🥷🏽,,-1002668846685,0,0,Ecosystem Partner (Active Chat),"Last contact: Behindthemask 💎🥷🏽 (2025-04-05 07:40): Hi Artem,

Thank you for your thoughtful response and for taking the time to rev..."
OP-34,KC,KC,Babak,,-4674106293,0,0,Ecosystem Partner (Active Chat),"Last contact: Babak (2025-07-30 16:28): Hey @KC_web3 
How are you doing man?..."
OP-35,ONION Launch Partners,ONION Launch Partners,ONTON,,-1002436519875,0,0,Ecosystem Partner (Active Chat),"Last contact: ONTON (2025-06-28 20:16): Lets invite all launch partners here
@Behindthe_mask1 @elbabix..."
OP-36,TON Persian Founders,TON Persian Founders,Mahdi,,-4671013921,0,0,Ecosystem Partner (Active Chat),"Last contact: Mahdi (2025-05-03 18:41): ممنون احسان جان.
متاسفانه هنوز با صابر ملاقات نکردم.
الان بهش پیام دادم.

نمی دو..."
OP-37,Play2Win partnership,Play2Win partnership,k k,,-1002496964120,0,0,Ecosystem Partner (Active Chat),Last contact: k k (2025-03-14 11:53): Good day! Waiting for our creative director and devs will take a look at possibi...
OP-38,Genesis ONIONs Launch Partners,Genesis ONIONs Launch Partners,Admin,,-4637922023,0,0,Ecosystem Partner (Active Chat),Existing co-marketing partnership chat with ONTON.
OP-39,Play2Win partnership,Play2Win partnership,andrey m,,-4728166373,0,0,Ecosystem Partner (Active Chat),"Last contact: andrey m (2025-03-12 12:13): hi there
I am Andrey..."
OP-40,ONTON Organizers,ONTON Organizers,Admin,,-1002492177355,0,0,Ecosystem Partner (Active Chat),Existing co-marketing partnership chat with ONTON.
OP-41,ONTON Organizers,ONTON Organizers,Malena,,-4724856097,0,0,Ecosystem Partner (Active Chat),Last contact: Malena (2025-01-06 08:01): Please make it super group...
